Dia,PrevD1,PrevD2,PrevD3,PrevD4,PrevD5,PrevD6,PrevD7
2023-03-16,1.234,0.002,0.109,0.878,1.626,0.958,0.008
2023-03-17,0.062,0.342,1.407,4.547,2.103,3.406,9.660
2023-03-18,0.757,4.963,4.177,3.880,8.797,9.453,9.827
2023-03-19,0.483,7.678,3.494,0.754,5.376,12.668,7.087
2023-03-20,7.415,0.138,0.002,5.401,13.777,2.875,3.263
2023-03-21,0.021,0.005,0.020,8.639,6.493,3.279,1.606
2023-03-22,0.034,0.011,0.015,0.719,4.095,9.096,4.303
2023-03-23,0.014,0.165,7.064,0.228,6.214,2.642,7.065
2023-03-24,0.168,0.254,0.234,3.023,20.543,22.057,11.710
2023-03-25,0.568,1.229,4.048,0.322,4.805,11.938,2.176
2023-03-26,1.030,4.529,0.122,2.293,10.589,11.901,3.317
2023-03-27,2.400,0.682,5.491,11.563,8.636,21.248,0.570
2023-03-28,4.919,20.509,15.606,8.360,9.773,1.470,0.480
2023-03-29,14.978,12.418,9.346,5.035,0.645,0.018,0.004
2023-03-30,10.008,4.561,4.248,3.292,0.025,0.000,0.010
2023-03-31,1.199,0.974,0.911,0.004,0.029,0.005,0.283
2023-04-01,0.120,0.159,0.000,0.004,0.812,3.552,8.092
2023-04-02,0.481,0.024,0.037,0.065,0.013,0.935,0.125
2023-04-03,0.442,0.067,0.084,0.042,0.309,13.895,1.704
2023-04-04,0.353,0.082,0.005,0.011,2.509,12.770,18.119
2023-04-05,0.007,0.915,5.221,14.506,14.527,1.208,2.893
2023-04-06,2.879,10.180,11.084,2.791,0.147,4.072,4.413
2023-04-07,15.514,6.659,0.731,0.114,0.179,0.694,1.040
2023-04-08,3.457,0.536,0.027,0.050,0.502,2.414,0.393
2023-04-09,0.698,0.041,0.000,0.346,2.412,8.635,2.725
2023-04-10,0.081,0.001,0.091,0.536,17.501,10.045,1.069
2023-04-11,0.975,0.466,3.025,10.748,8.454,1.485,0.007
2023-04-12,3.084,2.115,17.370,7.910,0.852,0.047,0.000
2023-04-13,0.175,3.816,4.980,0.304,0.011,0.036,2.378
2023-04-14,4.017,2.856,0.450,0.009,2.269,16.767,14.651
2023-04-15,1.165,0.424,5.016,8.023,13.631,4.602,0.071
2023-04-16,0.124,4.812,11.575,14.902,0.218,0.116,0.036
2023-04-17,0.837,18.586,23.099,0.000,0.041,0.000,0.046
2023-04-18,20.992,20.324,0.000,0.000,0.001,0.037,0.138
2023-04-19,19.372,0.000,0.002,0.000,0.005,0.002,0.018
2023-04-20,0.000,0.010,0.001,0.000,0.057,0.040,0.020
2023-04-21,0.000,0.000,0.014,0.015,0.004,0.001,1.972
2023-04-22,0.020,0.006,0.325,0.004,0.000,5.881,0.408
2023-04-23,0.141,0.001,0.000,0.000,2.543,0.404,0.067
2023-04-24,0.002,0.000,0.031,7.652,0.568,0.328,0.052
2023-04-25,0.038,2.665,3.456,0.972,0.563,0.260,0.532
2023-04-26,1.597,2.824,0.564,0.095,0.063,0.196,0.007
2023-04-27,0.944,0.760,0.781,1.780,0.787,0.011,0.014
2023-04-28,1.009,1.967,2.231,1.146,0.030,0.000,1.238
2023-04-29,2.001,0.506,0.458,0.267,0.035,0.002,0.097
2023-04-30,0.213,0.291,0.017,0.007,0.000,7.293,2.013
2023-05-01,0.067,0.199,0.023,0.000,0.051,2.012,0.431
2023-05-02,0.024,0.037,0.049,0.000,0.092,6.644,0.644
2023-05-03,0.033,0.037,0.000,0.001,0.041,0.204,9.086
2023-05-04,0.000,0.000,0.000,0.032,0.000,0.520,13.948
2023-05-05,0.000,0.035,0.008,0.006,0.713,11.194,0.517
2023-05-06,0.152,0.022,0.000,0.155,7.510,1.197,0.248
2023-05-07,0.153,0.001,0.226,10.622,5.443,0.293,1.238
2023-05-08,0.000,0.208,2.349,1.571,1.281,2.279,0.349
2023-05-09,0.034,2.497,0.944,0.384,0.303,0.029,0.036
2023-05-10,10.270,0.713,0.157,0.841,0.007,0.216,0.022
2023-05-11,0.687,0.167,0.120,0.019,0.008,0.005,0.041
2023-05-12,0.063,0.068,0.057,0.073,0.012,0.000,0.000
2023-05-13,0.012,0.030,0.146,0.000,0.116,0.037,0.090
2023-05-14,0.081,0.124,0.000,0.049,0.195,0.016,0.047
2023-05-15,0.000,0.000,0.072,0.248,0.012,0.071,0.000
2023-05-16,0.000,0.037,0.009,0.026,0.091,0.002,0.000
2023-05-17,0.001,0.007,0.021,0.085,0.001,0.009,0.182
2023-05-18,0.045,0.029,0.069,0.000,0.000,0.001,0.000
2023-05-19,0.042,0.043,0.000,0.000,0.000,0.004,0.357
2023-05-20,0.000,0.000,0.000,0.000,0.469,0.426,0.053
2023-05-21,0.000,0.000,0.000,0.043,0.106,0.630,1.517
2023-05-22,0.000,0.000,0.068,0.668,0.113,0.292,0.608
2023-05-23,0.000,0.005,0.931,0.168,0.002,21.837,1.145
2023-05-24,0.007,0.001,0.001,0.001,0.064,3.119,11.981
2023-05-25,0.016,0.000,0.000,0.000,0.007,10.748,3.494
2023-05-26,0.000,0.000,1.650,4.803,4.744,5.463,0.064
2023-05-27,0.003,0.016,4.136,0.544,7.871,0.660,0.150
2023-05-28,1.817,0.509,0.497,34.430,1.741,0.057,0.030
2023-05-29,1.016,0.476,10.776,1.688,0.040,0.010,0.001
2023-05-30,0.344,38.609,0.796,0.070,0.008,0.103,0.000
2023-05-31,43.382,0.150,0.226,0.021,0.093,0.000,0.185
2023-06-01,0.210,0.129,0.016,0.088,0.000,0.007,0.041
2023-06-02,0.129,0.027,0.000,0.001,0.074,0.006,0.000
2023-06-03,0.026,0.000,0.000,0.009,0.020,0.000,0.000
2023-06-04,0.000,0.000,0.000,0.009,0.000,0.000,0.000
2023-06-05,0.000,0.056,0.003,0.000,0.000,0.000,0.000
2023-06-06,0.016,0.001,0.000,0.000,0.000,0.000,0.179
2023-06-07,0.000,0.000,0.000,0.000,0.000,0.000,0.021
2023-06-08,0.000,0.000,0.000,0.000,0.014,0.329,1.380
2023-06-09,0.000,0.000,0.000,0.000,2.282,32.548,8.601
2023-06-10,0.000,0.000,0.000,0.583,19.588,18.969,1.050
2023-06-11,0.000,0.001,0.067,4.421,27.388,14.259,0.635
2023-06-12,0.000,0.084,1.664,5.868,28.960,2.724,0.234
2023-06-13,0.160,1.626,0.528,13.296,4.462,0.279,0.042
2023-06-14,2.175,4.111,5.227,0.178,0.662,0.135,0.062
2023-06-15,2.109,0.722,0.094,0.705,0.057,0.035,0.074
