Dia,PrevD1,PrevD2,PrevD3,PrevD4
2021-08-11,0.010,0.140,0.515,0.118
2021-08-12,0.127,0.533,0.142,0.027
2021-08-13,0.501,0.366,0.014,0.015
2021-08-14,0.257,0.097,0.422,0.002
2021-08-15,0.074,0.341,0.183,0.000
2021-08-16,0.366,0.183,0.253,0.000
2021-08-17,0.285,0.189,0.020,0.000
2021-08-18,0.000,0.000,0.000,0.000
2021-08-19,0.000,0.000,0.000,0.000
2021-08-20,0.000,0.000,0.000,0.000
2021-08-21,0.000,0.000,0.000,0.000
2021-08-22,0.000,0.000,0.000,0.000
2021-08-23,0.000,0.000,0.000,0.000
2021-08-24,0.000,0.000,0.000,0.002
2021-08-25,0.000,0.000,0.169,0.160
2021-08-26,0.000,0.047,0.295,0.017
2021-08-27,0.045,0.236,0.540,0.530
2021-08-28,1.359,0.633,8.960,0.017
2021-08-29,0.500,0.583,0.206,0.000
2021-08-30,0.036,0.001,0.000,0.000
2021-08-31,0.003,0.000,0.000,0.000
2021-09-01,0.000,0.000,0.000,0.000
2021-09-02,0.001,0.001,0.004,0.001
2021-09-03,0.000,0.025,0.097,0.023
2021-09-04,0.000,0.072,0.031,0.000
2021-09-05,0.000,0.004,0.058,0.000
2021-09-06,0.032,0.031,0.010,0.000
2021-09-07,0.003,0.002,0.264,0.000
2021-09-08,0.002,0.380,8.455,0.246
2021-09-09,0.004,1.472,0.691,0.000
2021-09-10,6.457,1.780,1.555,0.006
2021-09-11,0.816,0.632,0.104,0.000
2021-09-12,0.347,0.048,0.032,0.000
2021-09-13,0.004,0.016,0.064,0.147
2021-09-14,0.021,0.032,0.300,0.127
2021-09-15,0.249,0.140,0.598,0.000
2021-09-16,0.074,0.297,0.002,0.000
2021-09-17,0.436,0.016,0.239,0.004
2021-09-18,0.063,0.040,0.146,0.000
2021-09-19,0.148,0.030,0.217,0.294
2021-09-20,0.001,0.512,0.419,0.012
2021-09-21,0.203,0.394,0.001,0.000
2021-09-22,0.205,0.002,0.000,0.000
2021-09-23,0.013,0.000,1.835,0.008
2021-09-24,0.000,6.804,3.558,0.002
2021-09-25,0.938,2.935,1.796,0.000
2021-09-26,1.776,0.358,0.042,0.000
2021-09-27,0.102,0.195,0.105,0.021
2021-09-28,0.000,0.176,0.051,0.010
2021-09-29,0.359,0.113,0.206,0.069
2021-09-30,0.018,0.639,2.559,0.253
2021-10-01,0.202,4.534,6.431,0.016
2021-10-02,3.777,3.531,6.280,3.046
2021-10-03,1.399,2.466,0.214,0.053
2021-10-04,13.534,0.506,2.072,0.520
2021-10-05,1.041,2.853,11.026,1.972
2021-10-06,0.758,15.193,1.139,0.165
2021-10-07,0.002,0.000,0.000,0.000
2021-10-08,0.199,1.094,18.075,0.000
2021-10-09,0.004,0.000,0.000,0.000
2021-10-10,0.000,0.000,0.000,0.000
2021-10-11,7.065,8.308,0.320,0.000
2021-10-12,6.803,0.428,0.000,0.000
2021-10-13,0.302,0.481,3.340,31.592
