Dia,PrevD1,PrevD2,PrevD3,PrevD4,PrevD5,PrevD6,PrevD7
2023-04-08,3.459,1.174,0.100,0.067,0.266,3.379,0.303
2023-04-09,1.565,0.035,0.003,0.333,4.367,17.638,3.926
2023-04-10,0.098,0.001,0.135,0.565,23.890,10.403,1.866
2023-04-11,0.992,0.825,3.170,16.373,6.578,2.036,0.056
2023-04-12,4.149,2.569,18.193,7.522,1.234,0.297,0.000
2023-04-13,0.205,6.507,4.157,0.757,0.042,0.013,3.054
2023-04-14,7.430,8.512,0.744,0.033,0.776,16.254,23.025
2023-04-15,1.292,0.584,4.859,8.964,21.422,5.463,0.523
2023-04-16,0.675,3.406,12.932,6.143,0.350,0.320,0.048
2023-04-17,0.023,11.071,21.597,0.000,0.130,0.003,0.030
2023-04-18,6.401,13.187,0.000,0.000,0.003,0.041,0.323
2023-04-19,17.601,0.000,0.001,0.003,0.020,0.012,0.018
2023-04-20,0.000,0.080,0.012,0.001,0.150,0.035,0.014
2023-04-21,0.000,0.000,0.019,0.081,0.020,0.004,3.964
2023-04-22,0.151,0.035,0.487,0.018,0.003,6.351,0.677
2023-04-23,0.338,0.000,0.047,0.001,2.676,0.441,0.251
2023-04-24,0.009,0.001,0.016,3.362,0.659,0.749,0.063
2023-04-25,0.046,4.763,3.398,0.900,0.273,0.165,0.478
2023-04-26,2.734,2.701,0.521,0.383,0.164,0.100,0.004
2023-04-27,1.237,0.500,0.932,2.329,0.788,0.029,0.014
2023-04-28,1.380,1.544,1.870,1.613,0.027,0.000,1.802
2023-04-29,3.172,0.382,0.320,0.270,0.020,0.001,0.199
2023-04-30,0.232,0.631,0.014,0.005,0.000,3.802,2.597
2023-05-01,0.018,0.102,0.010,0.000,0.135,2.720,1.026
2023-05-02,0.093,0.021,0.044,0.000,0.033,7.575,0.755
2023-05-03,0.062,0.020,0.000,0.000,0.176,0.198,9.871
2023-05-04,0.000,0.000,0.002,0.031,0.000,1.718,18.929
2023-05-05,0.000,0.019,0.015,0.023,0.725,11.651,1.368
2023-05-06,0.104,0.020,0.000,0.122,8.636,1.900,0.513
2023-05-07,0.263,0.005,0.284,10.125,7.073,0.598,1.461
2023-05-08,0.000,0.188,2.461,2.096,1.740,2.917,0.690
2023-05-09,0.058,3.052,1.213,0.748,0.611,0.131,0.163
2023-05-10,7.679,0.855,0.843,1.369,0.080,0.507,0.189
2023-05-11,0.842,0.814,0.549,0.022,0.041,0.007,0.027
2023-05-12,0.354,0.417,0.027,0.099,0.030,0.000,0.000
2023-05-13,0.117,0.045,0.167,0.000,0.142,0.033,0.071
2023-05-14,0.070,0.122,0.000,0.137,0.263,0.015,0.024
2023-05-15,0.000,0.000,0.283,0.418,0.030,0.047,0.000
2023-05-16,0.001,0.089,0.044,0.035,0.057,0.002,0.000
2023-05-17,0.053,0.042,0.036,0.060,0.002,0.057,0.186
2023-05-18,0.042,0.030,0.041,0.000,0.000,0.002,0.000
2023-05-19,0.028,0.035,0.000,0.000,0.000,0.007,0.394
2023-05-20,0.000,0.000,0.000,0.000,0.619,0.366,0.000
2023-05-21,0.000,0.000,0.000,0.158,0.116,0.528,1.158
2023-05-22,0.000,0.000,0.153,0.949,0.152,0.241,0.367
2023-05-23,0.000,0.074,0.898,0.089,0.009,23.738,4.155
2023-05-24,0.019,0.001,0.001,0.000,0.087,4.212,27.038
2023-05-25,0.021,0.000,0.000,0.005,0.039,12.843,3.663
