Dia;Precipitacao;Vazao;Captacao;Evapotranspiracao
2021-12-02;0.080;12.667;0.815;4.236
2021-12-03;0.000;11.889;0.863;4.236
2021-12-04;0.000;10.938;0.875;4.236
2021-12-05;0.000;10.328;0.847;4.236
2021-12-06;0.010;9.608;0.815;4.236
2021-12-07;0.640;8.859;0.808;4.236
2021-12-08;0.000;8.440;0.830;4.236
2021-12-09;0.000;8.205;0.836;4.236
2021-12-10;0.010;8.090;0.893;4.236
2021-12-11;0.000;8.253;0.877;4.236
2021-12-12;1.060;8.802;0.855;4.236
2021-12-13;1.820;9.299;0.843;4.236
2021-12-14;9.090;9.796;0.807;4.236
2021-12-15;6.670;11.312;0.657;4.236
2021-12-16;7.610;12.727;0.815;4.236
2021-12-17;30.360;15.014;0.834;4.236
2021-12-18;0.030;16.605;0.837;4.236
2021-12-19;0.000;15.372;0.844;4.236
2021-12-20;0.000;10.897;0.743;4.236
2021-12-21;0.000;5.981;0.897;4.236
2021-12-22;4.390;4.606;0.837;4.236
2021-12-23;0.110;5.648;0.824;4.236
2021-12-24;0.000;6.440;0.714;4.236
2021-12-25;0.000;6.707;0.575;4.236
2021-12-26;0.000;7.491;0.775;4.236
2021-12-27;14.450;9.380;0.810;4.236
2021-12-28;10.920;12.096;0.787;4.236
2021-12-29;1.540;13.684;0.821;4.236
2021-12-30;2.890;14.001;0.821;4.236
2021-12-31;13.280;13.681;0.756;4.236
2022-01-01;8.270;13.855;0.711;4.281
2022-01-02;1.010;13.334;0.786;4.281
2022-01-03;1.570;11.132;0.691;4.281
2022-01-04;6.560;8.991;0.735;4.281
2022-01-05;16.320;8.182;0.724;4.281
2022-01-06;16.400;9.040;0.733;4.281
2022-01-07;0.000;11.328;0.759;4.281
2022-01-08;0.000;12.985;0.765;4.281
2022-01-09;6.460;11.775;0.751;4.281
2022-01-10;0.000;9.127;0.698;4.281
2022-01-11;6.100;8.075;0.711;4.281
2022-01-12;10.960;7.687;0.670;4.281
2022-01-13;2.950;7.470;0.712;4.281
2022-01-14;3.240;9.612;0.696;4.281
2022-01-15;0.240;9.578;0.722;4.281
2022-01-16;1.150;8.701;0.651;4.281
