Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2021-05-19;0.00;0.00;0.00;9.31;0.00;0.00;0.00
2021-05-20;0.00;0.00;9.31;0.00;0.00;0.00;0.00
2021-05-21;0.00;9.31;0.00;0.00;0.00;0.00;0.00
2021-05-22;9.31;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-23;0.00;0.00;0.00;0.00;0.00;0.00;0.68
2021-05-24;0.00;0.00;0.00;0.00;0.00;0.68;5.03
2021-05-25;0.00;0.00;0.00;0.00;0.68;5.03;0.00
2021-05-26;0.00;0.00;0.00;0.68;5.03;0.00;0.00
2021-05-27;0.00;0.00;0.68;5.03;0.00;0.00;0.00
2021-05-28;0.00;0.68;5.03;0.00;0.00;0.00;0.00
2021-05-29;0.68;5.03;0.00;0.00;0.00;0.00;0.00
2021-05-30;5.03;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-31;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-01;0.00;0.00;0.00;0.00;0.00;0.00;0.09
2021-06-02;0.00;0.00;0.00;0.00;0.00;0.09;0.00
2021-06-03;0.00;0.00;0.00;0.00;0.09;0.00;0.00
2021-06-04;0.00;0.00;0.00;0.09;0.00;0.00;0.87
2021-06-05;0.00;0.00;0.09;0.00;0.00;0.87;0.00
2021-06-06;0.00;0.09;0.00;0.00;0.87;0.00;0.00
2021-06-07;0.09;0.00;0.00;0.87;0.00;0.00;0.00
2021-06-08;0.00;0.00;0.87;0.00;0.00;0.00;0.00
2021-06-09;0.00;0.87;0.00;0.00;0.00;0.00;0.00
2021-06-10;0.87;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-13;0.00;0.00;0.00;0.00;0.00;0.00;0.21
2021-06-14;0.00;0.00;0.00;0.00;0.00;0.21;0.33
