Dia;PrevD1;PrevD2;PrevD3;PrevD4
2021-05-30;0.520;0.565;5.613;0.087
2021-05-31;1.188;0.158;0.129;0.000
2021-06-01;0.159;0.116;0.096;0.010
2021-06-02;0.007;0.005;0.080;0.000
2021-06-03;0.000;0.062;0.000;0.000
2021-06-04;0.109;0.022;0.000;0.000
2021-06-05;0.000;0.195;0.356;0.049
2021-06-06;0.227;0.495;2.905;7.905
2021-06-07;1.800;3.792;5.702;0.003
2021-06-08;0.719;5.197;1.993;15.346
2021-06-09;0.293;1.915;10.803;0.622
2021-06-10;1.956;14.475;0.132;0.000
2021-06-11;1.687;0.150;0.058;0.008
2021-06-12;0.177;0.189;0.010;0.075
2021-06-13;0.220;0.125;0.085;0.136
2021-06-14;0.007;0.081;0.390;0.149
2021-06-15;0.050;0.363;0.319;0.063
2021-06-16;0.137;0.149;0.145;0.523
2021-06-17;0.106;0.118;3.906;0.603
2021-06-18;0.124;0.895;1.060;0.017
2021-06-19;0.089;0.878;0.008;3.052
2021-06-20;0.207;0.082;11.265;0.206
2021-06-21;0.085;1.544;0.055;0.057
2021-06-22;2.175;0.285;0.005;0.000
2021-06-23;0.136;0.002;0.076;0.122
2021-06-24;0.016;0.000;0.020;0.000
2021-06-25;0.058;0.003;0.000;0.000
2021-06-26;0.001;0.000;0.000;0.103
2021-06-27;0.000;0.002;0.127;0.359
2021-06-28;0.008;0.030;0.266;0.012
2021-06-29;0.585;0.137;0.018;0.038
2021-06-30;0.000;0.029;0.029;0.037
2021-07-01;0.000;0.000;0.000;0.000
2021-07-02;0.000;0.000;0.000;0.000
2021-07-03;0.000;0.000;0.000;0.000
2021-07-04;0.069;0.013;0.013;0.036
2021-07-05;0.051;0.034;0.034;0.013
2021-07-06;0.215;0.042;0.026;0.029
2021-07-07;0.033;0.081;0.079;0.001
2021-07-08;0.052;0.032;0.000;0.000
2021-07-09;0.024;0.002;0.000;0.037
2021-07-10;0.008;0.000;0.009;0.008
2021-07-11;0.000;0.000;0.000;0.000
2021-07-12;0.000;0.000;0.000;0.000
2021-07-13;0.000;0.000;0.000;0.000
2021-07-14;0.000;0.000;0.074;0.031
2021-07-15;0.000;0.007;0.007;0.001
2021-07-16;0.020;0.019;0.004;0.006
2021-07-17;0.145;0.200;0.007;0.000
2021-07-18;0.047;0.046;0.000;0.010
2021-07-19;0.000;0.000;0.008;0.010
2021-07-20;0.000;0.000;0.026;0.020
2021-07-21;0.000;0.009;0.022;0.002
2021-07-22;0.000;0.017;0.002;0.000
2021-07-23;0.004;0.000;0.000;0.000
2021-07-24;0.000;0.000;0.000;0.000
2021-07-25;0.000;0.000;0.000;0.293
2021-07-26;0.000;0.000;9.511;0.939
2021-07-27;0.000;7.210;0.037;0.000
2021-07-28;2.853;0.003;0.000;0.004
2021-07-29;0.000;0.000;0.005;0.006
2021-07-30;0.005;0.048;0.000;0.000
2021-07-31;0.002;0.000;0.002;0.000
2021-08-01;0.016;0.108;0.292;0.265
2021-08-02;0.042;0.850;0.151;0.079
2021-08-03;0.375;0.074;0.003;0.004
2021-08-04;0.152;0.002;0.000;0.003
2021-08-05;0.014;0.208;0.006;0.000
2021-08-06;0.181;0.037;0.000;0.000
2021-08-07;0.007;0.001;0.000;0.000
2021-08-08;0.188;0.000;0.002;0.000
2021-08-09;0.000;0.000;0.046;0.302
2021-08-10;0.000;0.035;0.788;0.028
2021-08-11;0.059;0.296;0.547;0.080
2021-08-12;0.235;0.922;0.209;0.044
2021-08-13;0.691;0.539;0.060;0.038
2021-08-14;0.307;0.154;0.581;0.002
2021-08-15;0.060;0.451;0.259;0.000
2021-08-16;0.617;0.467;0.275;0.000
2021-08-17;0.291;0.223;0.000;0.000
2021-08-18;0.000;0.000;0.000;0.000
2021-08-19;0.000;0.000;0.000;0.000
2021-08-20;0.000;0.000;0.000;0.000
2021-08-21;0.000;0.000;0.000;0.000
2021-08-22;0.000;0.000;0.000;0.000
2021-08-23;0.000;0.000;0.000;0.000
2021-08-24;0.000;0.000;0.000;0.014
2021-08-25;0.000;0.000;0.465;0.496
2021-08-26;0.000;0.219;0.904;0.008
2021-08-27;0.236;0.404;1.097;0.288
2021-08-28;2.124;0.966;11.237;0.015
2021-08-29;0.460;1.960;0.034;0.000
2021-08-30;0.182;0.002;0.000;0.000
2021-08-31;0.012;0.000;0.002;0.000
2021-09-01;0.000;0.004;0.000;0.000
2021-09-02;0.002;0.000;0.003;0.000
2021-09-03;0.000;0.023;0.008;0.120
2021-09-04;0.003;0.003;0.072;0.006
2021-09-05;0.002;0.054;0.100;0.000
2021-09-06;0.089;0.068;0.017;0.000
2021-09-07;0.020;0.003;0.305;0.001
2021-09-08;0.003;0.732;5.826;0.052
2021-09-09;0.009;0.776;1.382;0.006
2021-09-10;6.017;1.013;2.179;0.037
2021-09-11;0.878;0.774;0.135;0.000
2021-09-12;0.603;0.176;0.036;0.000
2021-09-13;0.000;0.029;0.204;0.449
2021-09-14;0.011;0.113;1.071;0.286
2021-09-15;0.564;0.248;0.504;0.000
2021-09-16;0.228;0.422;0.015;0.019
2021-09-17;0.759;0.033;0.249;0.028
2021-09-18;0.075;0.033;0.069;0.000
2021-09-19;0.078;0.051;0.153;0.620
2021-09-20;0.012;0.611;0.915;0.086
2021-09-21;0.479;0.772;0.041;0.000
2021-09-22;0.738;0.008;0.002;0.000
2021-09-23;0.021;0.005;1.826;0.138
2021-09-24;0.008;7.864;6.494;0.009
2021-09-25;1.486;4.699;3.043;0.000
2021-09-26;1.798;0.347;0.014;0.000
2021-09-27;0.045;0.116;0.130;0.052
2021-09-28;0.000;0.244;0.141;0.058
2021-09-29;0.525;0.058;0.396;0.027
2021-09-30;0.046;1.560;1.269;0.134
2021-10-01;0.224;4.984;9.235;0.208
2021-10-02;2.254;4.059;11.627;4.671
2021-10-03;2.163;2.598;0.554;0.129
2021-10-04;15.485;0.897;1.318;0.142
2021-10-05;1.617;2.955;15.014;1.376
2021-10-06;0.896;16.720;1.763;0.131
2021-10-07;0.012;0.000;0.000;0.000
2021-10-08;0.199;0.971;19.558;0.000
2021-10-09;0.008;0.000;0.000;0.000
2021-10-10;0.000;0.000;0.000;0.000
2021-10-11;4.854;12.754;0.650;0.003
2021-10-12;7.924;1.003;0.004;0.000
2021-10-13;0.558;0.375;4.170;20.165
2021-10-14;0.193;5.988;21.461;0.905
2021-10-15;0.000;0.000;0.000;0.000
2021-10-16;12.099;1.463;29.868;1.665
2021-10-17;0.949;25.990;1.351;0.605
2021-10-18;6.488;1.409;3.948;0.005
2021-10-19;3.701;5.833;0.449;0.063
2021-10-20;13.643;0.878;0.221;0.007
2021-10-21;0.555;1.723;0.011;0.000
2021-10-22;0.020;0.011;9.317;1.537
2021-10-23;0.021;4.260;1.920;5.557
2021-10-24;2.746;1.539;6.523;0.890
2021-10-25;0.825;1.862;8.980;21.783
2021-10-26;5.155;1.208;14.893;26.391
2021-10-27;10.599;27.208;6.914;0.461
2021-10-28;25.482;3.898;3.582;0.005
2021-10-29;1.790;5.405;5.258;1.541
2021-10-30;8.138;4.713;15.153;0.060
2021-10-31;29.588;2.608;1.528;0.455
2021-11-01;3.269;0.845;0.987;0.059
2021-11-02;0.774;0.172;0.004;0.000
2021-11-03;0.175;0.165;0.216;0.008
2021-11-04;0.038;0.345;0.005;0.047
2021-11-05;0.352;0.022;0.010;0.146
2021-11-06;0.045;0.039;19.469;2.557
2021-11-07;0.173;8.006;4.321;0.221
2021-11-08;1.418;0.289;0.382;0.224
2021-11-09;0.250;0.560;0.408;0.243
2021-11-10;1.583;7.835;1.737;0.291
2021-11-11;9.659;1.025;0.250;0.020
2021-11-12;0.843;0.049;0.020;0.000
2021-11-13;0.018;0.060;0.065;0.000
2021-11-14;0.025;0.017;0.103;0.001
2021-11-15;0.016;0.004;0.000;0.000
2021-11-16;0.003;0.002;1.020;6.276
2021-11-17;0.073;1.597;25.218;0.540
2021-11-18;6.899;8.757;1.096;0.054
2021-11-19;42.146;0.573;0.198;0.007
2021-11-20;1.311;0.129;0.067;0.022
2021-11-21;0.124;0.058;0.000;0.221
2021-11-22;0.047;0.012;0.471;0.000
2021-11-23;0.041;0.034;0.089;0.000
2021-11-24;0.110;3.775;4.640;2.014
2021-11-25;0.346;6.738;4.279;0.026
2021-11-26;4.518;0.000;0.000;0.000
2021-11-27;5.546;0.000;0.122;20.198
2021-11-28;0.016;0.061;11.571;0.000
2021-11-29;0.922;0.105;0.000;0.000
2021-11-30;12.275;11.998;0.012;0.031
2021-12-01;0.989;0.363;0.955;0.329
2021-12-02;2.602;0.410;1.087;0.072
2021-12-03;0.381;0.331;1.174;0.022
2021-12-04;0.109;2.622;33.145;1.984
2021-12-05;2.520;23.543;8.865;0.444
2021-12-06;5.984;2.709;4.413;0.074
2021-12-07;3.345;5.383;0.745;0.063
2021-12-08;2.814;0.073;0.077;0.015
2021-12-09;0.581;0.057;0.001;0.000
2021-12-10;0.090;0.000;4.293;2.182
2021-12-11;0.012;9.480;6.086;3.061
2021-12-12;7.949;9.462;7.913;0.420
2021-12-13;2.932;25.984;7.012;0.017
2021-12-14;28.831;10.338;0.583;0.173
2021-12-15;47.089;41.752;67.186;0.440
2021-12-16;0.000;0.000;0.000;0.000
2021-12-17;0.000;0.000;0.000;0.000
2021-12-18;0.479;0.600;0.006;0.001
2021-12-19;0.214;0.046;0.110;0.000
2021-12-20;0.302;0.061;2.776;29.256
2021-12-21;0.024;2.173;14.848;0.057
2021-12-22;1.184;0.539;0.184;0.038
2021-12-23;7.661;0.321;0.104;0.001
2021-12-24;0.422;0.028;0.600;0.011
2021-12-25;0.122;0.979;6.810;19.698
2021-12-26;0.065;4.691;13.138;0.089
2021-12-27;5.650;9.101;9.698;0.006
2021-12-28;6.495;5.227;5.252;0.041
2021-12-29;3.992;3.315;8.810;0.739
2021-12-30;38.649;5.294;6.508;0.027
2021-12-31;24.813;9.096;12.910;0.059
2022-01-01;15.411;7.716;12.919;0.170
2022-01-02;0.964;0.846;4.890;0.327
2022-01-03;9.544;11.858;3.393;1.057
2022-01-04;11.471;3.494;17.779;0.451
2022-01-05;13.119;37.899;0.636;0.233
2022-01-06;45.582;1.874;1.636;0.161
2022-01-07;14.617;0.385;0.157;0.048
2022-01-08;0.772;0.522;0.044;2.672
2022-01-09;1.737;0.201;30.004;0.438
2022-01-10;1.517;9.206;15.210;2.493
2022-01-11;2.639;3.584;4.528;0.000
2022-01-12;10.064;8.058;2.324;0.003
2022-01-13;3.742;1.777;3.742;0.045
2022-01-14;5.454;3.114;15.137;0.067
2022-01-15;0.000;0.000;0.000;0.000
2022-01-16;0.000;0.000;0.000;0.000
2022-01-17;0.000;0.000;0.000;0.000
2022-01-18;0.000;0.000;0.000;0.000
2022-01-19;0.000;0.000;0.000;0.000
2022-01-20;0.000;0.000;0.000;0.000
2022-01-21;0.000;0.000;0.000;0.000
2022-01-22;0.000;0.000;0.000;0.000
2022-01-23;0.000;0.000;0.000;0.000
2022-01-24;0.000;0.000;0.000;0.000
2022-01-25;0.000;0.000;0.000;0.000
2022-01-26;0.000;0.000;0.000;0.000
2022-01-27;0.000;0.000;0.000;0.000
2022-01-28;0.000;0.000;0.000;0.000
2022-01-29;0.000;0.000;0.000;0.000
2022-01-30;0.000;0.000;0.000;0.000
2022-01-31;64.561;11.376;0.440;0.608
2022-02-01;6.536;0.544;1.217;0.065
2022-02-02;8.798;0.735;1.010;0.057
2022-02-03;2.629;2.623;9.898;0.364
2022-02-04;2.139;6.504;5.343;1.296
2022-02-05;9.457;14.298;27.454;0.190
2022-02-06;30.490;47.617;0.204;0.038
2022-02-07;18.234;0.325;0.095;0.017
2022-02-08;2.377;0.076;0.497;0.292
2022-02-09;0.149;0.120;0.141;0.051
2022-02-10;0.175;0.434;0.610;0.052
2022-02-11;3.302;1.043;0.088;0.038
2022-02-12;0.710;0.457;0.256;0.001
2022-02-13;3.142;0.587;7.560;0.022
2022-02-14;1.101;7.057;3.409;0.022
2022-02-15;2.874;1.105;1.614;0.000
2022-02-16;0.219;2.716;2.873;0.003
2022-02-17;27.740;8.745;0.722;0.005
2022-02-18;5.199;11.023;1.249;0.000
2022-02-19;0.283;0.901;0.057;0.000
2022-02-20;4.475;0.030;0.011;0.053
2022-02-21;3.263;0.136;0.323;0.032
2022-02-22;0.586;0.147;0.230;0.000
2022-02-23;2.189;1.546;0.006;0.002
2022-02-24;1.903;0.048;0.002;0.006
2022-02-25;0.040;0.034;0.096;0.000
2022-02-26;0.178;0.095;0.210;0.000
2022-02-27;1.090;1.751;0.789;0.614
2022-02-28;0.225;0.547;0.170;0.114
2022-03-01;3.866;0.799;0.092;0.005
2022-03-02;0.074;0.324;1.211;0.000
2022-03-03;1.824;5.493;6.359;0.014
2022-03-04;1.879;4.589;4.283;0.013
2022-03-05;1.473;1.193;0.413;0.001
2022-03-06;4.799;3.584;1.249;0.037
2022-03-07;4.065;0.181;0.343;0.007
2022-03-08;0.066;0.220;2.029;0.608
2022-03-09;0.920;0.778;0.829;0.515
2022-03-10;0.424;5.169;14.979;3.648
2022-03-11;2.371;6.200;19.928;1.004
2022-03-12;15.738;16.933;17.785;15.394
2022-03-13;20.215;12.802;21.662;3.865
2022-03-14;5.772;4.513;6.078;0.085
2022-03-15;9.326;8.191;1.694;0.000
2022-03-16;7.953;1.695;2.695;0.034
2022-03-17;0.485;1.807;4.792;0.002
2022-03-18;1.292;4.355;12.539;0.274
2022-03-19;2.381;35.376;0.731;0.054
2022-03-20;45.759;0.447;0.162;0.006
2022-03-21;0.562;0.068;0.054;0.000
2022-03-22;0.013;0.418;0.046;0.000
2022-03-23;0.523;0.000;0.067;0.000
2022-03-24;0.102;0.093;4.395;1.966
2022-03-25;0.838;2.647;11.795;0.654
2022-03-26;4.181;12.461;2.666;0.402
2022-03-27;10.204;8.505;3.072;0.020
2022-03-28;7.233;2.978;0.275;0.000
2022-03-29;2.561;0.378;4.313;0.685
2022-03-30;0.358;1.780;1.263;0.132
2022-03-31;1.557;0.627;2.934;0.007
2022-04-01;0.755;1.063;1.872;0.016
2022-04-02;0.484;0.222;2.699;0.336
2022-04-03;1.024;3.888;6.292;0.015
2022-04-04;2.519;3.973;1.867;0.031
2022-04-05;1.352;1.134;1.204;0.004
2022-04-06;0.259;0.200;6.956;0.457
2022-04-07;0.467;3.744;11.317;0.214
2022-04-08;1.244;21.053;0.354;0.022
2022-04-09;5.954;0.977;0.130;0.000
2022-04-10;0.587;0.017;2.483;0.020
2022-04-11;0.103;1.676;4.185;1.397
2022-04-12;1.267;1.062;17.872;5.732
2022-04-13;2.873;5.757;0.508;0.139
2022-04-14;1.893;0.555;0.153;0.036
2022-04-15;0.394;0.020;0.023;0.039
2022-04-16;0.053;0.041;0.161;0.008
2022-04-17;0.041;0.240;6.760;0.062
2022-04-18;0.200;2.176;0.113;0.045
2022-04-19;1.309;0.389;0.047;0.017
2022-04-20;0.172;0.012;0.046;0.000
2022-04-21;0.081;0.032;0.000;0.000
2022-04-22;0.026;0.000;0.018;0.005
2022-04-23;0.000;1.299;4.450;0.036
2022-04-24;0.078;0.055;0.016;0.013
2022-04-25;0.039;0.018;0.004;0.000
2022-04-26;0.033;0.020;0.026;0.000
2022-04-27;0.000;0.000;1.742;0.232
2022-04-28;0.000;0.000;0.000;0.000
2022-04-29;0.000;0.000;0.000;0.000
2022-04-30;0.000;0.000;0.000;0.000
2022-05-01;0.116;0.394;0.043;0.003
2022-05-02;0.272;0.074;0.346;2.661
2022-05-03;0.261;3.900;0.166;0.216
2022-05-04;1.656;0.004;0.458;0.108
2022-05-05;0.070;0.205;0.196;0.106
2022-05-06;0.154;0.148;0.122;0.033
2022-05-07;0.199;0.440;0.091;0.024
2022-05-08;0.146;0.219;0.119;0.149
2022-05-09;0.309;0.322;0.438;0.579
2022-05-10;0.094;0.204;0.394;0.078
2022-05-11;0.316;1.192;0.058;0.032
2022-05-12;0.659;0.101;0.069;0.029
2022-05-13;0.089;0.019;16.742;0.131
2022-05-14;0.017;5.894;15.139;0.811
2022-05-15;2.778;6.880;1.350;0.000
2022-05-16;1.583;0.514;0.000;0.012
2022-05-17;0.413;0.006;0.046;0.020
2022-05-18;0.019;0.152;0.036;0.079
